Ano,Trimestre,Mês,Dia,DIVIDA_ATUAL,ID_CONTA,NU_DIAS_ATRASO,Questão 2 - Base 2.QTD_PARCELAMENTO_12M,Questão 2 - Base 2.QTD_PARCELAMENTO_3M,Questão 2 - Base 2.QTD_PARCELAMENTO_6M,Questão 2 - Base 3.LIMITE,Questão 2 - Base 5.QTD_ACIONAMENTO_1M,Questão 2 - Base 5.QTD_ACIONAMENTO_10D,Questão 2 - Base 5.QTD_ACIONAMENTO_3M,Questão 2 - Base 5.QTD_ACIONAMENTO_6M,Questão 2 - Base 5.QTD_CP_10D,Questão 2 - Base 5.QTD_CP_1M,Questão 2 - Base 5.QTD_CP_3M,Questão 2 - Base 5.QTD_CP_6M,Questão 2 - Base 5.QTD_CPC_10D,Questão 2 - Base 5.QTD_CPC_1M,Questão 2 - Base 5.QTD_CPC_3M,Questão 2 - Base 5.QTD_CPC_6M,RESPOSTA,RESPOSTA - Copiar,VALOR_CRELIQ
2018,Trim 4,novembro,22,2337.72,1334473,1176,0,0,0,1080,12,4,40,96,0,0,0,0,0,0,0,0,0,0,1419.04
2018,Trim 4,novembro,22,1601.81,1334502,332,0,0,0,599,11,8,11,11,0,0,0,0,0,0,0,0,0,0,903.17
2018,Trim 4,novembro,22,1396.91,1334504,252,0,0,0,562,3,0,41,41,0,0,2,2,0,0,0,0,0,0,920.04
2018,Trim 4,novembro,22,1063.29,1334538,280,0,0,0,270,6,3,19,19,0,0,2,2,0,0,0,0,0,0,663.25
2018,Trim 4,novembro,22,1578.96,1334636,311,0,0,0,270,,,,,,,,,,,,,0,0,927.35
2018,Trim 4,novembro,22,1508.84,1334689,242,0,0,0,270,15,0,127,222,0,0,0,0,0,0,0,0,0,0,1013.26
2018,Trim 4,novembro,22,1549.08,1334733,235,1,1,1,801,5,4,66,66,0,0,0,0,0,0,2,2,0,0,1054.52
2018,Trim 4,novembro,22,1140.15,1334787,311,0,0,0,674,2,2,25,25,0,0,1,1,0,0,0,0,0,0,669.63
2018,Trim 4,novembro,22,1909.63,1334796,270,0,0,0,292,1,0,1,10,0,0,0,1,0,0,0,0,0,0,1214.53
2018,Trim 4,novembro,22,583.26,1334817,306,0,0,0,270,11,9,11,11,0,0,0,0,0,0,0,0,1,1,345.9
2018,Trim 4,novembro,22,741.24,1334861,316,2,2,2,270,12,10,12,21,0,0,0,2,0,0,0,0,0,0,431.13
2018,Trim 4,novembro,22,949.11,1334864,231,0,0,0,337,15,12,17,32,0,0,0,0,0,0,0,0,0,0,651.13
2018,Trim 4,novembro,22,1186.37,1334871,226,0,0,0,423,16,9,16,16,3,5,5,5,0,0,0,0,0,0,821.85
2018,Trim 4,novembro,22,57458.97,1334877,6102,0,0,0,28431,279,108,2358,4023,0,0,0,18,0,0,0,0,0,0,39804.48
2018,Trim 4,novembro,22,9021.92,1334882,2736,0,0,0,2160,68,12,68,144,0,4,4,4,0,0,0,0,8,1,4989.12
2018,Trim 4,novembro,22,124623.9,1334893,7290,0,0,0,20601,585,99,1881,4401,0,18,18,18,0,0,0,0,0,0,79260.66
2018,Trim 4,novembro,22,441.97,1334895,196,0,0,0,169,6,3,24,50,0,0,0,1,0,0,0,0,0,0,324.54
2018,Trim 4,novembro,22,8208.72,1334910,1688,16,8,16,3832,24,0,324,632,0,0,8,12,0,4,4,8,0,0,5854.64
2018,Trim 4,novembro,22,645.27,1334953,231,0,0,0,342,4,0,119,171,0,0,0,0,0,0,0,0,0,0,442.69
2018,Trim 4,novembro,22,886.4,1334968,221,0,0,0,443,0,0,9,40,0,0,0,0,0,0,0,0,0,0,620.04
2018,Trim 4,novembro,22,886.29,1334981,294,0,0,0,876,17,13,18,18,2,2,2,2,0,0,0,0,0,0,538.01
2018,Trim 4,novembro,22,2370.92,1335030,1348,0,0,0,2248,20,4,44,100,0,0,0,0,0,0,0,0,0,0,1323.92
